ResRoommates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenant_Code,Ext_Ref_Tenant_Id,Roommate_PhoneNumber1,Roommate_PhoneNumber2,Roommate_PhoneNumber3,Roommate_PhoneNumber4,Roommate_UserDefined0,Roommate_UserDefined1,Roommate_UserDefined2,Roommate_UserDefined3,Roommate_UserDefined4,Roommate_UserDefined5,Roommate_UserDefined6,Roommate_UserDefined7,Roommate_UserDefined8,Roommate_UserDefined9,Roommate_SSN,Property_Code,Ref_Property_ID,Unit_Code,Ref_Unit_Id,Ext_Ref_Roommate_Id,Roommate_Salutation,Roommate_LastName,Roommate_FirstName,Roommate_Email,Roommate_ALTEmail,Roommate_MoveIn,Roommate_MoveOut,Occupant_Type,Roommate_Occupant,Roommate_ACHOptOut,Roommate_Relationship,Roommate_Notes,Roommate_Code
t0002191,,,,,,,,,,,,,,,,,lark,,230-0267,,,,Scott,Dennis,custtest+dscott@redisrupt.io,,,,1,0,0,Spouse,,r0022748
t0002217,,,,,,,,,,,,,,,,,cove,,002-SALT,,,,Jones,Julian,custtest+julianandcolin@redisrupt.io,,,,1,0,0,Spouse,,r0000441
t0002228,,,12223334444,,,,,,,,,,,,,,cove,,009-CAPT,,,,Robin,Howard,custtest+hrobin@redisrupt.io,,,,1,0,0,Spouse,,r0000482
t0002358,,,,,12223334444,,,,,,,,,,,,cove,,132-BARB,,,,Shern,Erika,custtest+emshern@redisrupt.io,,,,,0,,Spouse,,r0000454
t0002364,,,,,,,,,,,,,,,,,cove,,WAIT3B,,,,Burke,Michael,custtest+sfburke1@redisrupt.io,,,,1,0,0,Spouse,,r0000451
t0002371,,,12223334444,,,,,,,,,,,,,,lark,,230-0265,,,,MacQuarrie,Kevin,,,,,1,0,0,Spouse,,r0000467
t0002401,,,,,,,,,,,,,,,,,cove,,022-SEAD,,,,Hefkova,Michaela,custtest+m.hefkova@redisrupt.io,,,,1,0,0,Roommate,,r0000494
t0002401,,,,,,,,,,,,,,,,,cove,,022-SEAD,,,,Izakovic,Jakub,custtest+izakovicjakub@redisrupt.io,,,,1,0,0,Roommate,,r0000495
t0002526,,,,,,,,,,,,,,,,,cove,,034-BARB,,,,Devoto,Jeffrey,,,,,1,0,0,Spouse,,r0000463
t0002533,,,,,,,,,,,,,,,,,cove,,062-BARB,,,,McQuiston,Mary Hope,,,,,,0,,Spouse,,r0000486
t0002616,,12223334444,,,,,,,,,,,,,,,lark,,180-2251,,,,Laar,Jennie,custtest+laarjennie@redisrupt.io,,,,,0,,Spouse,,r0000471
t0002635,,,,,,,,,,,,,,,,,lark,,170-2117,,,,Ferguson,Heather,custtest+hcayless@redisrupt.io,,,,1,0,0,Spouse,,r0000472
t0002656,,,,,,,,12223334444,,,,,,,,,lark,,230-0272,,,,Castellanos,Charis,custtest+chariscastellanos@redisrupt.io,,05/08/2014,,1,0,0,Spouse,,r0000476
t0002658,,,,,,,,,,,,,,,,,lark,,230-0268,,,,Poulton,Courtney,custtest+poultonfamily2@redisrupt.io,,,,1,0,0,Spouse,,r0000473
t0002666,,,,,,,,,,,,,,,,,lark,,180-2326,,,,Heckman,Jonathan,custtest+heckmanjm@redisrupt.io,,,,1,0,0,Spouse,,r0000502
t0002676,,12223334444,12223334444,12223334444,12223334444,,,,,,,,,,,,lark,,160-2131,,,,Tran,Lisa,custtest+lisazoulek@redisrupt.io,,,,1,0,0,Spouse,,r0023784
t0002678,,,,,,,,,,,,,,,,,lark,,100-0206,,,,Nguyen,Angela,,,,,0,0,0,Spouse,,r0000506
t0002697,,,,,,,,,,,,,,,,,lark,,130-0259,,,,Burk,Phil,custtest+philburk@redisrupt.io,,,,1,0,0,Spouse,,r0000496
t0002706,,,12223334444,,,Honda/CRV,432GBZ,,,,,,,,,,lark,,130-0260,,,,Riley,Kevin,custtest+kevin.riley13@redisrupt.io,,,,1,0,0,Spouse,,r0000485
t0002715,,,,,,,,,,,,,,,,,lark,,180-2246,,,,Janicki,Nicole,custtest+nikkijanicki@redisrupt.io,,,,1,0,0,Other,,r0000487
t0002752,,12223334444,,,,,,,,,,,,,,,lark,,900-0142,,,,Leblond,Leila,custtest+leblond.leila@redisrupt.io,,,,,0,,Spouse,,r0000490
t0002815,,,12223334444,,,,,,,,,,,,,,lark,,900-0236,,,,Sandoval,Mario,custtest+mariosandovalsf@redisrupt.io,,,,1,0,0,,,r0023249
t0002864,,,,,,,,,,,,,,,,,lark,,190-2216,,,,Dudley,Charlotte,custtest+Cha.graham@redisrupt.io,,,,1,0,0,Spouse,,r0000499
t0002888,,,,,,,,,,,,,,,,,lark,,230-0266,,,,Inglis,Emily,custtest+emilyroushey@redisrupt.io,,,,1,0,0,Spouse,,r0000501
t0002899,,,12223334444,,,,,,,,,,,,,,lark,,110-0249,,,,dorrance,catherine,sandcath@yahoo.com.au,,,,1,0,0,Spouse,,r0000504
t0002931,,,,,,,,,,,,,,,,,lark,,230-0163,,,,Wright,Christie,custtest+c.lynnwright@redisrupt.io,,,,1,0,0,Spouse,,r0000509
t0002932,,,,,,,,,,,,,,,,,lark,,WAITVOYA,,,,Bacon,Brock,custtest+Brocklybitz527@redisrupt.io,,,,1,0,0,Roommate,,r0000555
t0002937,,,,,,,,12223334444,,,,,,,,,lark,,150-2307,,,,Ramsey,Lisa,custtest+ldversaci@redisrupt.io,,07/12/2014,,0,-1,0,Roommate,,r0000550
t0002943,,,,,,,,,,,,,,,,,lark,,190-2219,,,,Santiago,Blaise,custtest+blaise.santiago@redisrupt.io,,,,1,0,0,Spouse,,r0000508
t0002948,,,,,,,,,,,,,,,,,lark,,270-0289,,,,Mixsell,Richard,custtest+richthemix@redisrupt.io,,,,1,0,0,Roommate,,r0000510
t0002955,,,,,,,,,,,,,,,,,lark,,250-0280,,,,Ritchie,Rowena,custtest+rowena@redisrupt.io,,,,1,0,0,Spouse,,r0000511
t0002958,,,12223334444,,,,,,,,,,,,,,lark,,190-2114,,,,Juszczak,Renee,,,,,,0,,Spouse,,r0000517
t0002960,,,,,,,,,,,,,,,,,lark,,270-0285,,,,Alexander,Claudia,custtest+claudial_alexander@redisrupt.io,,,,1,0,0,Spouse,,r0000512
t0002964,,,,,,,,,,,,,,,,,lark,,180-2243,,,,keller,adrienne,custtest+adrienne.l.keller@redisrupt.io,,,,1,0,0,Spouse,,r0000514
t0002981,,,12223334444,,,,,,,,,,,,,,cove,,017-SEAD,,,,Gajdos,Marian,custtest+majogajdos@redisrupt.io,,,,1,0,0,Roommate,,r0000518
t0002981,,,,,,,,,,,,,,,,,cove,,017-SEAD,,,,Klizan,Matus,custtest+matus.klizan@redisrupt.io,,,,1,0,0,Roommate,,r0000519
t0002981,,,12223334444,,,,,,,,,,,,,,cove,,017-SEAD,,,,Studnicna,Lucie,custtest+medicka007@redisrupt.io,,,,1,0,0,Roommate,,r0000520
t0002981,,,,,,,,,,,,,,,,,cove,,017-SEAD,,,,Bott,Juraj,custtest+juraj.bott@redisrupt.io,,,,1,0,0,Roommate,,r0000521
t0002981,,,,,12223334444,,,Guymans,,,,,,,,,cove,,017-SEAD,,,,Meneses,Enrique,custtest+ernie_taki@redisrupt.io,,06/17/2014,09/10/2014,1,0,0,Guarantor,,r0000531
t0002985,,,4152253,,,,,,,,,,,,,,cove,,WAIT1-E,,,,Wong,Robert,,,,,1,0,0,Spouse,,r0000526
t0002992,,12223334444,12223334444,,,,,,,,,,,,,,cove,,002-BARB,,,,Prisco,Lynn,custtest+motherart1@redisrupt.io,,,,1,-1,0,Guarantor,,r0023041
t0002997,,,,,,,,12223334444,,,,,,,,,lark,,140-2262,,,,McCormick,Erica,custtest+erica.s.mccormick@redisrupt.io,,06/13/2014,,0,-1,0,Spouse,,r0000525
t0003006,,,12223334444,,,,,12223334444,,,,,,,,,lark,,130-0255,,,,Weeks,Andrew,custtest+morphit8@redisrupt.io,,06/13/2014,,0,0,0,Guarantor,,r0000523
t0003007,,,,,,,,,,,,,,,,,lark,,190-2114,,,,Brown,Kelly,custtest+kellybrown.ksb@redisrupt.io,,,,1,0,0,Spouse,,r0000527
t0003022,,,,,,,,,,,,,,,,,lark,,180-2150,,,,Hoxsey,Amy,custtest+amy.hoxsey@redisrupt.io,,,,1,0,0,Spouse,,r0000528
t0003028,,,,,,,,,,,,,,,,,lark,,180-2253,,,,Kaye,Alex,custtest+alexekaye@redisrupt.io,,,,1,0,0,Spouse,,r0000530
t0003031,,,,,,,,,,,,,,,,,lark,,900-0240,,,,Dierx,Anoeschka,custtest+anoeschkadierx@redisrupt.io,,,,0,0,0,,,r0025121
t0003072,,,,,,,,,,,,,,,,,cove,,153-BARB,,,,O Sullivan,Lucia,custtest+osullivan.lucia@redisrupt.io,,,,1,0,0,Spouse,,r0022705
t0003090,,12223334444,,,,,,,,,,,,,,,cove,,WAIT1-A,,,,Saathoff,Tania,custtest+wrestleross@redisrupt.io,,,,1,0,0,Other,,r0000534
t0003113,,,,,,,,,,,,,,,,,lark,,180-2148,,,,Dudley,Sarah,custtest+skippyskippyskippy@redisrupt.io,,,,1,0,0,Spouse,,r0000536
t0003125,,,,,,,,,,,,,,,,,lark,,140-2156,,,,Malachowski,James,custtest+beckymalac@redisrupt.io,,,,1,0,0,Guarantor,,r0000539
t0003154,,,,,,,,,,,,,,,,,lark,,170-2119,,,,Ford,Whitney,custtest+whitneytmason@redisrupt.io,,,,1,0,0,Spouse,,r0000542
t0003157,,,,,,,,,,,,,,,,,lark,,140-2153,,,,Jordan,Cecilia,custtest+Ceciliajordan1987@redisrupt.io,,,,0,0,0,Other,,r0000545
t0003158,,,,,,,,,,,,,,,,,lark,,270-0286,,,,Deike,Allison,custtest+allisonmdeike@redisrupt.io,,,,1,0,0,Spouse,,r0000543
t0003158,,,,,,,,,,,,,,,,,lark,,270-0286,,,,Deike,Skyler,,,,,2,0,0,Other,,r0000544
t0003168,,,,,,,,,,,,,,,,,cove,,003-CHAN,,,,Morina,Besart,custtest+besarti@redisrupt.io,,,,1,0,0,Spouse,,r0000546
t0003168,,,,,12223334444,,,,,,,,,,,,cove,,003-CHAN,,,,Morina,Fatmir,custtest+fatmir2morina@redisrupt.io,,,,1,0,,Guarantor,,r0000547
t0003175,,,,,,,,,,,,,,,,,cove,,006-CHAN,,,,Malnick,Julianne,custtest+juliannemalnick@redisrupt.io,,,,1,0,0,Other,,r0026124
t0003196,,,,,12223334444,,,,,,,,,,,,cove,,131-BARB,,,,Munley,JoAnne Renee,custtest+jrmunley@redisrupt.io,,,,1,0,0,Spouse,,r0000548
t0003205,,,,,,,,,,,,,,,,,cove,,019-GNWD,,,,Kaufman,Nerice,custtest+nericekaufman@redisrupt.io,,,,1,0,0,Spouse,,r0000552
t0003216,,,,,,,,,,,,,,,,,lark,,300-0117,,,,McClanahan,Jennifer,custtest+jennifer@redisrupt.io,,,,1,0,0,Spouse,,r0000553
t0003217,,,,,,,,,,,,,,,,,lark,,270-0285,,,,Reiber,Richard,custtest+richreiber@redisrupt.io,,,,1,0,0,Spouse,,r0000551
t0003219,,12223334444,,,,,,,,,,,,,,,lark,,150-2124,,,,Cronan,Andrew,custtest+andrew.t.cronan@redisrupt.io,,,,1,0,0,,,r0025407
t0003230,,,,,,,,,,,,,,,,,cove,,024-BARB,,,,Fernandes,Stephen,custtest+stevefernandes60@redisrupt.io,,,,1,0,0,Spouse,,r0000556
t0003264,,,12223334444,,,,,,,,,,,,,,cove,,015-GNWD,,,,Kim,Minju,custtest+artcook7777@redisrupt.io,,,,1,0,0,Spouse,,r0000590
t0003264,,,,,,,,,,,,,,,,,cove,,015-GNWD,,,,Cho,Jaewon Philipp,,,,06/12/2015,0,0,0,Other,,r0000591
t0003281,,,,,,,,,,,,,,,,,lark,,WAITCLIP,,,,Elias,Paulo,custtest+paulo@redisrupt.io,,,,1,0,0,Other,,r0000582
t0003306,,,,,,,,,,,,,,,,,lark,,180-2140,,,,Trusty,Deborah,custtest+inthecottage@redisrupt.io,,,,1,0,0,Guarantor,,r0000563
t0003352,,,,,,,,,,,,,,,,,lark,,130-0153,,,,Denstedt,Amanda,custtest+miadenstedt@redisrupt.io,,,,1,0,0,Spouse,,r0000569
t0003356,,,,,,,,,,,,,,,,,lark,,230-0162,,,,siegel,shari,custtest+sharimsiegel@redisrupt.io,,,,1,0,0,Spouse,,r0000570
t0003362,,,,,,,,,,,,,,,,,lark,,100-0114,,,,Jaravata,Gesa,custtest+gesa.jaravata@redisrupt.io,,,,1,0,0,Spouse,,r0000583
t0003372,,,,,12223334444,,,,,,,,,,,,lark,,190-2114,,,,Duka,Joanne,custtest+joanneduka@redisrupt.io,,,,1,0,0,Spouse,,r0000571
t0003406,,,12223334444,,,,,,,,,,,,,,lark,,300-0120,,,,Lieginger,Evan,custtest+elichinger@redisrupt.io,,,,1,0,0,Roommate,,r0000580
t0003417,,,,,,,,,,,,,,,,,lark,,180-2140,,,,Zavala,Esteban,custtest+thisgymisprivate@redisrupt.io,,,,1,0,0,Spouse,,r0000581
t0003453,,,,,,,,,,,,,,,,,lark,,180-2249,,,,Gloistein,Philip,custtest+pgloistein@redisrupt.io,,,,1,0,0,Spouse,,r0000603
t0003453,,,,,,,,12223334444,,,,,,,,,lark,,180-2249,,,,Gloistein,Robert,custtest+rgloistein@redisrupt.io,,09/09/2014,,1,0,0,Guarantor,,r0000620
t0003455,,,12223334444,,,,,,,,,,,,,,lark,,300-0118,,,,MacAulay,Gordon,custtest+gordon@redisrupt.io,,,,1,0,0,Guarantor,,r0000587
t0003476,,,,,,,,,,,,,,,,,lark,,270-0291,,,,Mocciaro,Rebecca,custtest+rebeccamocciaro@redisrupt.io,,,,1,0,0,Spouse,,r0000589
t0003505,,,,,,,,,,,,,,,,,lark,,WAITCLIP,,,,Reale,Chris,custtest+realechris@redisrupt.io,,,,1,0,0,Spouse,,r0000592
t0003530,,,,,,,,,,,,,,,,,cove,,044-BARB,,,,Alexander,Julie,custtest+alexander.julie@redisrupt.io,,,,1,0,0,Spouse,,r0000593
t0003536,,,12223334444,,,,,,,,,,,,,,lark,,100-0208,,,,Myers,Thomas,custtest+trmmyers@redisrupt.io,,,,1,0,0,Guarantor,,r0000598
t0003539,,,,,,,,,,,,,,,,,lark,,130-0152,,,,Jenner,Joseph,custtest+Joejenner1@redisrupt.io,,,,1,0,0,Spouse,,r0000596
t0003539,,,,,,,,,,,,,,,,,lark,,130-0152,,,,Gamache,Nancy,custtest+Ngamache@redisrupt.io,,,,1,0,0,Guarantor,,r0000597
t0003556,,,12223334444,,,,,,,,,,,,,,cove,,019-GNWD,,,,Davey,Brian,custtest+badavey@redisrupt.io,,,,1,0,0,Roommate,,r0000599
t0003588,,12223334444,12223334444,,,,,,,,,,,,,,cove,,001-CAPT,,,,Patrick,Margaret,custtest+masp50@redisrupt.io,,,,1,-1,0,Guarantor,,r0000607
t0003616,,,,,,,,,,,,,,,,,lark,,180-2245,,,,Johnston,Brian,custtest+Bjohnston84@redisrupt.io,,,,1,0,0,Spouse,,r0000604
t0003632,,,,,,,,,,,,,,,,,lark,,WAITSAND,,,,Sodaro,Steve,custtest+sodaro.cal@redisrupt.io,,,,1,0,0,Other,,r0000606
t0003638,,,,,,,12223334444,12223334444,,,,,,,,,cove,,048-BARB,,,,Frochen,Sharon,custtest+sharon.frochen@redisrupt.io,,09/07/2014,,1,0,0,Roommate,,r0000618
t0003641,,,,,,,,,,,,,,,,,lark,,160-2130,,,,Carter,Beth,custtest+bc144606@redisrupt.io,,,,1,0,0,Other,,r0000612
t0003643,,,,,,,,,,,,,,,,,lark,,300-0211,,,,Stoorza,Jillian,custtest+jstoorza@redisrupt.io,,,,1,0,0,Roommate,,r0000613
t0003647,,,,,,,,,,,,,,,,,cove,,WAIT1-C,,,,Panzuto,Kimberly,,,,,,0,,Roommate,,r0000642
t0003647,,,,,,,,,,,,,,,,,cove,,WAIT1-C,,,,Panzuto,Kimberly,,,,09/07/2014,0,0,0,Other,,r0000614
t0003697,,,,,,,,,,,,,,,,,lark,,180-2323,,,,Baumann,Andreas,custtest+livingbaum@redisrupt.io,,,,1,0,0,Spouse,,r0000622
t0003716,,,12223334444,,12223334444,,,,,,,,,,,,lark,,300-0222,,,,Lam,Irene,custtest+irenelamsf@redisrupt.io,,10/06/2014,,1,0,0,Other,,r0025325
t0003739,,,,,,,,,,,,,,,,,lark,,180-2139,,,,Jeffrey,Nick,custtest+nickdjeffrey@redisrupt.io,,,,1,0,0,Spouse,,r0000624
t0003742,,,,,,,,,,,,,,,,,lark,,130-0153,,,,Holmes,Kimberly,custtest+serenity@redisrupt.io,,,,1,0,0,Roommate,,r0000625
t0003787,,,,,,,,,,,,,,,,,cove,,060-BARB,,,,Shepard,Stephen,custtest+sshepard@redisrupt.io,,,,1,0,0,Spouse,,r0000629
t0003797,,,,,,,12223334444,12223334444,,,,,,,,,lark,,190-2113,,,,Li,Yi,custtest+yi.li100@redisrupt.io,,09/28/2014,,0,0,0,Roommate,,r0000632
t0003799,,,,,,,,12223334444,,,,,,,,,cove,,030-GNWD,,,,Patella,Anne,custtest+annepatella@redisrupt.io,,10/13/2014,,1,0,0,Spouse,,r0000637
t0004191,,,12223334444,,,,,,,,,,,,,,lark,,250-0315,,,,Reber,John,custtest+john.s.reber@redisrupt.io,,,,1,0,0,Roommate,,r0003713
t0004215,,,12223334444,,,,,,,,,,,,,,lark,,160-2129,,,,Munley,Joanne,custtest+jrmunley@redisrupt.io,,,,1,0,0,Spouse,,r0000640
t0004224,,,12223334444,,,,,,,,,,,,,,lark,,100-0102,,,,Stone,Christopher,custtest+biz@redisrupt.io,,,,1,0,0,Guarantor,,r0000641
t0007185,,,,,,,,,,,,,,,,,lark,,190-2112,,,,Funseth,Beverly,,,,,0,0,0,,,r0022702
t0007186,,,,,,,,,,,,,,,,,cove,,035-BARB,,,,Chris,Harlan,,,03/17/2011,,2,0,0,Other,,r0000271
t0007186,,,,,,,,,,,,,,,,,cove,,035-BARB,,,,Kelly,Harlan,,,03/17/2011,,2,0,0,Other,,r0000272
t0007205,,,,,,,,,,,,,,,,,cove,,019-BARB,,,,O Sullivan,Lucia,custtest+osullivan.lucia@redisrupt.io,,,,1,0,0,Spouse,,r0000532
t0007209,,12223334444,12223334444,,,,,,,,,,,,,,cove,,003-SALT,,,,Pacific,Meridian,,,11/19/2014,,1,0,0,Guarantor,,r0022743
t0007210,,12223334444,,,,,,,,,,,,,,,cove,,039-GNWD,,,,Jansheski,Patricia,custtest+pattyjansheski03@redisrupt.io,,,,,0,,Spouse,,r0022709
t0007210,,,,,,,,,,,,,,,,,cove,,039-GNWD,,,,minor,minor,,,,,2,0,0,,,r0026105
t0007210,,,,,,,,,,,,,,,,,cove,,039-GNWD,,,,minor,minor,,,,,2,0,0,,,r0026106
t0007211,,,,,,,,,,,,,,,,,cove,,021-SALT,,,,Mnieckowski,Lisa,custtest+lisaballone@redisrupt.io,,,,1,0,0,Spouse,,r0023152
t0007211,,,,,,,,,,7/5/2006,,,,,,,cove,,021-SALT,,,,Mnieckowski,Maxus,,,,,2,-1,0,Other,,r0026115
t0007211,,,,,,,,,,11/22/2003,,,,,,,cove,,021-SALT,,,,Mnieckowski,Ella,,,,,2,-1,0,Other,,r0026116
t0007219,,,,,,,,,,,,,,,,,cove,,132-BARB,,,,Zoba,Carl,custtest+cdzoba51@redisrupt.io,,,05/30/2015,0,-1,0,Guarantor,,r0022721
t0007220,,,,,,,,,,,,,,,,,cove,,006-SALT,,,,Devoto,Jeffrey,,,,,,0,,Spouse,,r0022735
t0007228,,,,,,,,,,,,,,,,,lark,,190-2213,,,,Scott,Dennis,custtest+dscott@redisrupt.io,,,,1,0,0,Spouse,,r0000460
t0007229,,,12223334444,,12223334444,,,,,,,,,,,,cove,,019-SALT,,,,Michael,Marline,custtest+marlinemichael@redisrupt.io,,,,,0,,Spouse,,r0022754
t0007230,,,,,12223334444,,,,,,,,,,,,cove,,006-SALT,,,,Devoto,Jeffrey,custtest+jeff@redisrupt.io,,,,1,0,0,Spouse,,r0022759
t0007242,,12223334444,,,,,,,,,,,,,,,cove,,124-BARB,,,,Demko Jr,Raymond,custtest+radiationraven@redisrupt.io,,,,,0,,Spouse,,r0022796
t0007245,,,,,,,,,,,,,,,,,lark,,190-2217,,,,Litvinchuk,Tatsiana,custtest+tatyana.litvinchuk@redisrupt.io,,,,0,-1,0,Spouse,,r0000078
t0007247,,,,,12223334444,,,,,,,,,,,,lark,,190-2116,,,,Bradley,James,,,,,0,0,0,Spouse,,r0000122
t0007248,,,,,12223334444,,,,,,,,,,,,cove,,074-BARB,,,,Carrasco,Esmeralda,custtest+lalacarrasco@redisrupt.io,,,,,0,,Spouse,,r0022825
t0007254,,,,,,,,,,,,,,,,,lark,,270-0291,,,,Chie,James,custtest+jpchie@redisrupt.io,,,,0,0,0,,,r0023896
t0007256,,,,,,,,,,,,,,,,,cove,,026-SEAD,,,,,,,,,,0,-1,0,,,r0027051
t0007278,,,12223334444,,,,,,,,,,,,,,cove,,131-BARB,,,,Larson,Paul,custtest+lschallen@redisrupt.io,,,,,0,,Spouse,,r0022922
t0007284,,,,,,,,,,,,,,,,,cove,,026-SALT,,,,Edelstein,Janice,,,,,,0,,Spouse,,r0022971
t0007289,,12223334444,,,,,,,,,,,,,,,lark,,100-0302,,,,Gerrans,Arthur,custtest+agerrans@redisrupt.io,,,,0,-1,0,Other,,r0022984
t0007291,,12223334444,,,,,,,,,,,,,,,cove,,027-GNWD,,,,Coe,Vinsetta,custtest+designvc@redisrupt.io,,,,,0,,Spouse,,r0022991
t0007301,,12223334444,,,,,,,,,,,,,,,cove,,137-BARB,,,,Stranzl,Scott,custtest+scott@redisrupt.io,,,,,0,,Spouse,,r0023004
t0007301,,12223334444,,,,,,,,,,,,,,,cove,,137-BARB,,,,Stranzl,Christie,custtest+stranzlfamily@redisrupt.io,,,,,0,,Spouse,,r0023005
t0007305,,,12223334444,,,,,,,,,,,,,,lark,,100-0302,,,,Mercer-Niehues,Eryn,custtest+erynmercer@redisrupt.io,,,,1,0,,Spouse,,r0023017
t0007307,,,12223334444,,,,,,,,,,,,,,lark,,180-2254,,,,Khan,Aamir,custtest+aamirk@redisrupt.io,,,,1,0,,Roommate,,r0023018
t0007327,,,12223334444,,,,,,,,,,,,,,cove,,007-SALT,,,,Lussier,Martha,custtest+Mydear53@redisrupt.io,,,,1,0,0,Spouse,,r0023288
t0007335,,12223334444,,,,,,,,,,,,,,,cove,,056-BARB,,,,Scott,Stranzl,custtest+scott@redisrupt.io,,08/29/2013,,1,0,0,Roommate,,r0000290
t0007338,,,12223334444,,,,,,,,,,,,,,lark,,140-2261,,,,Karimi,Maryam,custtest+miriyamrk@redisrupt.io,,,,,0,,Spouse,,r0023053
t0007351,,,12223334444,,,,,,,,,,,,,,lark,,140-2257,,,,Stornetta,Stephan,custtest+steve@redisrupt.io,,,,1,0,,Other,,r0023068
t0007360,,,12223334444,,,,,,,,,,,,,,lark,,190-2214,,,,van Liemt,Romain,custtest+pub.vanliemt@redisrupt.io,,,,1,0,,Spouse,,r0023078
t0007365,,,12223334444,,,,,,,,,,,,,,lark,,270-0176,,,,Wang,Zhengzheng,custtest+deviling@redisrupt.io,,,,1,0,,Spouse,,r0023094
t0007370,,,,,12223334444,,,,,,,,,,,,cove,,108-BARB,,,,Cameron,Mark,custtest+mac34@redisrupt.io,,,,0,0,0,Spouse,,r0023108
t0007375,,,,,,,,,,,,,,,,,cove,,038-GNWD,,,,Radtke,Melita,custtest+melita.martin@redisrupt.io,,,,1,0,,Spouse,,r0023114
t0007375,,,,,,,,,,,,,,,,,cove,,038-GNWD,,,,minor,minor,,,,,2,0,0,,,r0026104
t0007377,,12223334444,,,,,,,,,,,,,,,cove,,022-CAPT,,,,Raymond,Helene,custtest+heleneraymond@redisrupt.io,,,,0,0,,Roommate,,r0023116
t0007384,,,,,,,,,,,,,,,,,cove,,012-SALT,,,,,,,,,04/01/2016,0,-1,0,,,r0023126
t0007384,,12223334444,,,,,,,,,,,,,,,cove,,012-SALT,,,,Stolberg,Natazia,custtest+nataziastolberg@redisrupt.io,,,,1,0,,Roommate,,r0023127
t0007395,,,12223334444,,,,,,,,,,,,,,lark,,WAITSAND,,,,Kluth,Richard,custtest+rickiekluth@redisrupt.io,,,,0,0,,Other,,r0023136
t0007397,,,12223334444,,,,,,,,,,,,,,lark,,140-2158,,,,Huber,Gael,custtest+gael.scott.huber@redisrupt.io,,,,1,0,,Roommate,,r0023140
t0007405,,12223334444,,,,,,,,,,,,,,,cove,,017-CAPT,,,,Beraldi,Alessandra,,,,,0,0,0,Spouse,,r0026793
t0007405,,,,,,,,,,,,,,,,,cove,,017-CAPT,,,,Biral,Leonardo,,,,,2,-1,0,,,r0026794
t0007405,,,,,,,,,,,,,,,,,cove,,017-CAPT,,,,Biral,Michelle,,,,,0,0,0,Other,,r0026795
t0007416,,,12223334444,,12223334444,,,,,,,,,,,,cove,,002-SEAD,,,,Olney,Patricia,custtest+pnolney@redisrupt.io,,,,0,0,,Spouse,,r0023200
t0007417,,,12223334444,,,,,,,,,,,,,,lark,,900-0139,,,,Orndoff,Donald,custtest+donald.h.orndoff@redisrupt.io,,,,1,0,0,Guarantor,,r0000033
t0007417,,,,,,,,,,,,,,,,,lark,,900-0139,,,,,,,,,,0,-1,0,,,r0000034
t0007419,,,,,,,,12223334444,,,,,,,,,lark,,WAITCLIP,,,,Nero,Linda,custtest+l_nero@redisrupt.io,,03/28/2015,,0,-1,0,Spouse,,r0023216
t0007421,,,12223334444,,,,,,,,,,,,,,lark,,230-0267,,,,Dunn,Mark,custtest+mark.b.dunn@redisrupt.io,,,,1,0,0,Spouse,,r0023217
t0007426,,,,,,,,,,,,,,,,,cove,,021-CAPT,,,,minor,minor,,,,,2,-1,0,,,r0026100
t0007426,,12223334444,,,,,,,,,,,,,,,cove,,021-CAPT,,,,Boersma,Phill,custtest+pboersma@redisrupt.io,,,,0,0,,Spouse,,r0023228
t0007433,,12223334444,,,,,,,,,,,,,,,cove,,008-SALT,,,,Hassen,Curtis,custtest+c.maxhassen@redisrupt.io,,,,1,0,0,Roommate,,r0023245
t0007439,,,12223334444,,,,,,,,,,,,,,lark,,130-0313,,,,May,Colin,custtest+lscibana@redisrupt.io,,,,1,0,0,Spouse,,r0023251
t0007454,,,,,12223334444,,,,,,,,,,,,cove,,012-GNWD,,,,Kaufman,Nerice,custtest+nericekaufman@redisrupt.io,,,,,0,,Spouse,,r0000586
t0007459,,,12223334444,,,,,,,,,,,,,,cove,,011-SALT,,,,Lussier,Martha,custtest+Mydear53@redisrupt.io,,,,1,0,0,Spouse,,r0023040
t0007463,,,,,,,,,,,,,,,,,cove,,011-SALT,,,,Dohoney,Trinity,,,,,,-1,,Other,,r0023290
t0007464,,12223334444,,,,,,,,,,,,,,,cove,,024-CHAN,,,,Beatrice,Fox,,,06/21/2008,,1,-1,0,Roommate,,r0000251
t0007475,,,12223334444,,,,,,,,,,,,,,lark,,WAITMARI,,,,Uppuluri,Rohini,custtest+rohini.u@redisrupt.io,,,,0,0,,Spouse,,r0023317
t0007476,,12223334444,,,,,,,,,,,,,,,cove,,005-CAPT,,,,Kelly,Robert,custtest+RNKelly24@redisrupt.io,,,,1,0,,Roommate,,r0023318
t0007483,,,12223334444,,,,,,,,,,,,,,cove,,002-CHAN,,,,Rickard,Crystal,custtest+crystalnrickard@redisrupt.io,,,,1,0,0,Spouse,,r0026155
t0007483,,,,,,,,,,06/18/2013,,,,,,,cove,,002-CHAN,,,,Coco,Westland,,,,,2,-1,0,Other,,r0026156
t0007494,,,12223334444,,,,,,,,,,,,,,lark,,180-2140,,,,Esguerra,Evan,custtest+evanresguerra@redisrupt.io,,,,1,0,0,Spouse,,r0026826
